Courier,Tipo de servicio,Origen,Destino,Zona,Tipo de transporte,Lugar de entrega,Nombre sucursal,Tipo de pago,Capacidad,Plazo estimado
CHILEXPRESS,DHS,LAS CONDES,ACHAO,SUR,AEREO,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,ACHAO,SUR,AEREO,SUCURSAL,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,ACHAO,SUR,AEREO,SUCURSAL,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,ALGARROBO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ALTO HOSPICIO,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ALTO JAHUEL,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ANCUD,SUR,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ANDACOLLO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ANGOL,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ANTOFAGASTA,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ARAUCO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ARICA,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ARTIFICIO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,BALMACEDA,SUR,AEREO,DOMICILIO,,Cuenta corriente,,3
CHILEXPRESS,DHS,LAS CONDES,BAQUEDANO,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,BARRANCAS,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,BATUCO,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,BUIN,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,BULNES,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CABILDO,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,3
CHILEXPRESS,DHS,LAS CONDES,CABRERO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CALAMA,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CALBUCO,SUR,AEREO,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,CALDERA,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,CALERA DE TANGO,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CANETE,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CARAHUE,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CARTAGENA,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CASABLANCA,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CASTRO,SUR,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CAUQUENES,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CERRILLOS,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CERRO NAVIA,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CHAITEN,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,3
CHILEXPRESS,DHS,LAS CONDES,CHANARAL,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,CHEPICA,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CHICUREO,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CHIGUAYANTE,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CHILE CHICO,SUR,AEREO,DOMICILIO,,Cuenta corriente,,3
CHILEXPRESS,DHS,LAS CONDES,CHILLAN,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CHILLAN VIEJO,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CHIMBARONGO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CHOLGUAN,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CHONCHI,SUR,AEREO,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,COCHRANE,SUR,AEREO,DOMICILIO,,Cuenta corriente,,3
CHILEXPRESS,DHS,LAS CONDES,CODEGUA,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CODELCO RADOMIRO TOMIC,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,COELEMU,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,COIHUECO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,COINCO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,COLBUN,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,3
CHILEXPRESS,DHS,LAS CONDES,COLINA,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,COLLIPULLI,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,COLTAUCO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,COMBARBALA,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,CONCEPCION,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CONCHALI,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CONCON,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CONSTITUCION,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,COPIAPO,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,COQUIMBO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CORONEL,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,COYHAIQUE,SUR,AEREO,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,CUMPEO,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,CURACAUTIN,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,CURACAVI,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CURANILAHUE,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,CURICO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,DALCAHUE,SUR,AEREO,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,DIEGO DE ALMAGRO,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,3
CHILEXPRESS,DHS,LAS CONDES,DONIHUE,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,EL BELLOTO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,EL BOSQUE,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,EL CARMEN,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,2
CHILEXPRESS,DHS,LAS CONDES,EL MELON,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,EL MONTE,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,EL PAICO,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,EL QUISCO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,EL SALVADOR,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,3
CHILEXPRESS,DHS,LAS CONDES,EL TABITO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,EL TABO,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ENTRE LAGOS,SUR,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ESTACION CENTRAL,RM,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,ESTACION PAIPOTE,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,FREIRE,CENTRO,TERRESTRE,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,FREIRINA,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,1
CHILEXPRESS,DHS,LAS CONDES,FRESIA,NORTE,AEREO,DOMICILIO,,Cuenta corriente,,2
