company_id,folio_SII,duemint_reference,billing_month,billing_year
8,20542,3322317,12,2020
16,21344,3378010,12,2020
17,20543,3322318,12,2020
25,20591,3322366,12,2020
31,20544,3322319,12,2020
32,20545,3322320,12,2020
34,20546,3322321,12,2020
74,20547,3322322,12,2020
77,20548,3322323,12,2020
84,20549,3322324,12,2020
106,20550,3322325,12,2020
115,20541,3322316,12,2020
120,20551,3322326,12,2020
130,20552,3322327,12,2020
132,20553,3322328,12,2020
134,20554,3322329,12,2020
135,20672,3322447,12,2020
186,21108,3322893,12,2020
207,20555,3322330,12,2020
224,21101,3322886,12,2020
236,20556,3322331,12,2020
283,20557,3322332,12,2020
288,20558,3322333,12,2020
291,20559,3322334,12,2020
313,20560,3322335,12,2020
326,20561,3322336,12,2020
329,20680,3322455,12,2020
334,20562,3322337,12,2020
341,20563,3322338,12,2020
344,20564,3322339,12,2020
351,21384,3454854,12,2020
353,20565,3322340,12,2020
374,20569,3322344,12,2020
417,20566,3322341,12,2020
421,20567,3322342,12,2020
439,20568,3322343,12,2020
519,20570,3322345,12,2020
529,20571,3322346,12,2020
586,20572,3322347,12,2020
600,21345,3378011,12,2020
632,20573,3322348,12,2020
637,20574,3322349,12,2020
646,20575,3322350,12,2020
647,21346,3378012,12,2020
648,21258,3323043,12,2020
667,20576,3322351,12,2020
688,20577,3322352,12,2020
690,20578,3322353,12,2020
697,21269,3323054,12,2020
704,20580,3322355,12,2020
706,20581,3322356,12,2020
713,20582,3322357,12,2020
725,20583,3322358,12,2020
737,20584,3322359,12,2020
747,21347,3378013,12,2020
748,21348,3378014,12,2020
763,20585,3322360,12,2020
768,20586,3322361,12,2020
779,20587,3322362,12,2020
789,20588,3322363,12,2020
826,21349,3378015,12,2020
864,20589,3322364,12,2020
885,20590,3322365,12,2020
949,21387,3455562,12,2020
967,20592,3322367,12,2020
981,21312,3323099,12,2020
1006,20594,3322369,12,2020
1013,21368,3378034,12,2020
1032,21350,3378016,12,2020
1044,20595,3322370,12,2020
1047,20596,3322371,12,2020
1051,20597,3322372,12,2020
1077,21359,3378025,12,2020
1086,21369,3378035,12,2020
1122,20599,3322374,12,2020
1135,20600,3322375,12,2020
