company_id,company_name,first_owner,second_owner,new_first_owner,new_second_owner
549,OG Limitada,1,1,14,14
622,Tarpulin Tech Workwear,1,1,14,14
630,WUAF EIRL,1,1,14,14
641,Pirichi,1,1,14,14
10,Rinno Lab,1,1,14,14
13,BEST FOR PETS,1,0,14,14
20,LetsBonus,1,1,14,14
26,Duplicadoras.cl,1,1,14,14
29,Olivia Allamand,1,1,14,14
37,CAMILLE,1,1,14,14
40,BluBlu,1,1,14,14
67,Kilómetro 42,1,0,14,14
71,Minka Inhouse,1,1,14,14
80,Tilde,1,1,14,14
89,DizaShoes,1,1,14,14
93,Recytoper,1,1,14,14
96,LA FIESTA DE CARLOTA,1,1,14,14
102,Juppon Gatana Ltda,1,0,14,14
105,Hama Beads Chile,1,1,14,14
108,TADA Marcel Duhaut,1,1,14,14
111,Laboratorio Avanti,1,1,14,14
118,Moni Carteras & Accesorios,1,1,14,14
121,Birdy,1,1,14,14
124,Mamito Baby and Kids,1,1,14,14
127,PATAGONIA,1,1,14,14
130,TesoroMio,1,1,14,14
135,Smartdevice,1,1,14,14
211,BOZZE,1,1,14,14
225,HBC,1,1,14,14
957,Acceleron Trade,1,1,14,14
3621,Og kicks,13,13,14,14
1501,hirochi-cuentas-test,1,1,14,14
620,Sociedad Comercial Ideas Con Sentido Ltda,1,1,14,14
652,PEUGEOT CHILE S.A.,3,0,14,14
1435,Valentina Lambiasi,4,4,14,14
4003,Pesas santiago LT,13,13,14,14
140,Agrupet,1,1,14,14
745,Comercializadora DiSellwines Limitada,3,0,14,14
152,Murgan Hermanos,1,1,14,14
158,Socialite,1,1,14,14
161,Axom SpA,1,1,14,14
164,PATAGONIA BOX,1,1,14,14
170,TasteChile,1,1,14,14
173,Karkazas Store,1,1,14,14
176,Estefany Quintana Florez,1,1,14,14
182,Booga,1,1,14,14
185,Mstronics,1,1,14,14
189,This is Digital SpA,1,1,14,14
192,Portal Chile,1,1,14,14
199,CAMALEON JUGUETES,1,1,14,14
202,AllGreen Mascotas,1,1,14,14
212,Medallero Sports,1,1,14,14
215,TACKB.COM,1,1,14,14
218,Cotorra,1,1,14,14
222,E3P,1,1,14,14
245,GeekBox Chile,1,1,14,14
248,Dzulu,1,1,14,14
1502,Moovshake,1,1,14,14
1225,Bazar ED,2,2,2,2
2979,TESTJT12DIC,13,13,14,14
3773,Vitivinicola Two Winters SpA,13,13,14,14
550,galgo,1,1,14,14
18,The Tie Club,1,1,14,14
18,The Tie Club,1,1,14,14
18,The Tie Club,1,1,14,14
18,The Tie Club,1,1,14,14
18,The Tie Club,1,1,14,14
18,The Tie Club,1,1,14,14
18,The Tie Club,1,1,14,14
2085,Café Caribe,8,8,8,8
292,Andes Photo,3,3,14,14
287,Carcasas,1,1,14,14
279,Magenta Store,1,1,14,14
350,Trinidad Id,1,1,14,14
290,SANTOGOLLO GROWSHOP,1,1,14,14
294,Sucursal Cruz Verde,1,1,14,14
298,Divoom Store,1,1,14,14
301,carpintaria ,1,1,14,14
308,Ecologic,1,1,14,14
309,the new curators,1,1,14,14
1717,Simplysweet la pasteleria,4,4,14,14
146,La tienda de Pai,1,1,14,14
209,TODOPERROS,1,1,14,14
228,michinchilla,1,1,14,14
229,Brain Toy´s,1,1,14,14
233,CLICKER,1,1,14,14
251,Gentuza SPA,1,1,14,14
255,Ammond SpA,1,1,14,14
261,ChargeFIX,1,1,14,14
270,Animal Soul,1,1,14,14
276,Caa Yari Mate,1,1,14,14
721,ICHCA,1,1,14,14
712,Creado en Chile,1,6,14,6
1504,HyDCorp,4,4,14,14
3630,DBS,13,13,14,14
3814,Cauquenes ,13,13,14,14
316,Hacunamatata,1,1,14,14
319,Rematime,1,1,14,14
322,Correas Cucao,1,1,14,14
330,Celebra Design,1,1,14,14
333,Zapatos de Fátima,1,1,14,14
357,Sagrado DiseNo,1,1,14,14
340,Tóte Gifts Ltda,1,1,14,14
346,El Otro Lado,1,1,14,14
362,TM CHILE SPA,1,1,14,14
305,Tiendapet,1,1,14,14
343,CarnavalOnline,1,1,14,14
1225,Bazar ED,2,2,2,2
685,Degustemos.cl,1,1,14,14
14,Caserita,1,1,14,14
18,The Tie Club,1,1,14,14
366,penelope y punto SPA,1,1,14,14
3204,Climatizate,9,9,9,9
621,Ravanol,1,1,14,14
1112,Antdigital,1,1,14,14
3631,Imblue,13,13,14,14
304,COOLKIDS,1,1,14,14
21,Hiff,1,1,14,14
25,El Ruco,1,1,14,14
27,Zoki Decoración,1,1,14,14
28,Espacio Peques,1,1,14,14
30,Porquetevistes,1,1,14,14
35,Te Quiero Regalar,1,1,14,14
738,Cuna,1,1,14,14
1505,roy iribarren,1,1,14,14
1225,Bazar ED,2,2,2,2
993,OM Outdoors,1,1,14,14
4171,Universidad del Bío Bío,13,13,14,14
395,Mercado Mascotas,1,1,14,14
409,Farfallina,1,1,14,14
348,Mo Joyas de Autor,1,1,14,14
396,Amantoli Artesanía,1,1,14,14
675,Boutique Wines,1,1,14,14
405,High Mountain Experience,1,1,14,14
403,Mantis Outdoor,3,0,14,14
408,Tia Cami SpA,1,1,14,14
379,Emporio SpA,1,1,14,14
774,ChopaGatix,1,1,14,14
311,Algodon y poliester confecciones LTDA,3,3,14,14
398,Stimolarte,1,1,14,14
390,DANIELA,1,1,14,14
402,Centry,1,1,14,14
867,Esenmadera,1,1,14,14
3446,Mont Bags,13,13,14,14
3632,Diweb,13,13,14,14
2,Topfer,1,1,14,14
7,Crianza En Flor,1,1,14,14
15,Empleado,1,1,14,14
19,MelonCargo,1,1,14,14
24,Garage Sale,3,0,14,14
33,UmaSnacks,1,1,14,14
34,Tamboor,3,9,14,9
66,Katzmania,3,0,14,14
68,LA GALLINA,1,1,14,14
79,Taraan!,3,0,14,14
81,Moondo,1,1,14,14
82,Penélope y punto,3,0,14,14
85,The Float Life,1,0,14,14
106,Zazü,1,2,14,2
698,La Cooka,1,1,14,14
1144,Jedsmart SpA,1,1,14,14
3071,Shipit Prueba Creación Cuenta,13,13,14,14
38,Tiny Cotton,1,1,14,14
45,Mi Luz,1,1,14,14
46,Briú Coffee,1,1,14,14
48,La Scatola,1,1,14,14
49,LYS,1,1,14,14
61,BetaJulieta,1,1,14,14
64,Equus Mare,1,1,14,14
65,Karün,7,7,7,7
69,MeRaya,1,1,14,14
70,Mono Baby Style,1,1,14,14
72,My Moccs,1,1,14,14
73,Nalca Zapatos,9,3,9,14
75,Nuestro Mundo Ilustrado,1,1,14,14
83,La Carpinteria,1,1,14,14
88,Organic Green GrowShop,1,1,14,14
90,Pajarito,1,1,14,14
92,Smartpro,1,1,14,14
94,Marita Market,1,1,14,14
95,Suite Home Marticorena,1,1,14,14
97,Essian Chile,1,1,14,14
98,Ritzy Mash,1,1,14,14
101,Ebuyin,1,1,14,14
104,EntrenaMás,1,1,14,14
107,Coquett,1,1,14,14
109,Pamela Saavedra,1,1,14,14
110,Augusta,1,1,14,14
112,El Discotecario,1,1,14,14
1229,CASAMUSA,1,1,14,14
3817,TEST&SHIFT,13,13,14,14
3863,ATAC,13,13,14,14
2133,Wellstore Spa,9,9,9,9
2978,jafklsd,13,13,14,14
3400,Silvio,13,13,14,14
169,Cafestore,1,1,14,14
458,MARICARMEN OLAVARRIA ORREGO,1,1,14,14
41,HILO NOBLE,3,0,14,14
3610,Dicha,13,13,14,14
86,Mandarinas,1,1,14,14
115,Froensxx,1,1,14,14
117,Obivinilos,1,1,14,14
119,MOTOMUNDI,6,6,6,6
123,BerryBee,1,1,14,14
126,Bloom Beauty,1,1,14,14
128,Euroimport,1,1,14,14
129,Ricardo Rojas,1,1,14,14
137,Sexy Weed,1,1,14,14
138,D-Pie,1,1,14,14
141,SPORTCONNECT,1,1,14,14
142,La Sebastiana Rabida,1,1,14,14
148,Calzados LA HORMA,1,1,14,14
151,Iman Estudio Creativo,1,1,14,14
153,Pio Pio,1,1,14,14
156,COLORCELL,1,1,14,14
157,Diogenes Cerámicas,1,1,14,14
159,Barkshop,1,1,14,14
162,Ekairos Ltda.,1,1,14,14
163,Pet Happy,1,1,14,14
166,Booking.com Chile SPA,1,1,14,14
168,Spirulina a Domicilio,1,1,14,14
172,Maibu,7,4,7,14
174,H2O Sostenible,1,1,14,14
1297,Geometric Chile SpA,1,1,14,14
657,Mercado Jardin,1,1,14,14
679,Pajaro Pintor,1,1,14,14
337,Dperfumes SPA,1,1,14,14
624,Leguano,1,1,14,14
3120,COSMEFAR CHILE S.A.,10,10,10,10
154,BazarED.cl,1,1,14,14
644,Comercial Vial Cosmelli spa,1,1,14,14
171,DECATALOGO.CL,1,1,14,14
178,ArtMachine E.I.R.L.,1,1,14,14
181,Buenabici,1,1,14,14
184,Carydecora,1,1,14,14
187,Trebol sastrería,1,1,14,14
190,Gavetas de Amor Millaray,1,1,14,14
195,Timbres Online,1,1,14,14
200,Laftrac Ltda,1,1,14,14
203,Ropero Pituso,1,1,14,14
204,Surprise,1,1,14,14
210,Nariz de conejo,1,1,14,14
216,Carnaval,1,1,14,14
219,MyKid Chile,1,1,14,14
220,Santiago Yorker ,1,1,14,14
223,Pequeland,1,1,14,14
224,Bio-ionic,1,1,14,14
227,VSmoke,1,1,14,14
240,Vaico,2,2,2,2
247,SDI,3,3,14,14
1225,Bazar ED,2,2,2,2
699,KombuChile,1,1,14,14
1117,KW,1,2,14,2
3093,Boar Chile,10,10,10,10
412,Comercializadora KODY Chile Limitada,1,1,14,14
145,The Qualis,1,1,14,14
625,Muebles Vértice,1,1,14,14
286,Cuatro Tiempos,1,1,14,14
1307,Comercializadora FM SpA,4,4,14,14
280,Jacarandá Accesorios ,1,1,14,14
901,Quemasucabeza,1,1,14,14
198,Trending,3,3,14,14
214,SULILAB SPA,3,3,14,14
232,Landa´s,1,1,14,14
234,The SuperExecutive,1,1,14,14
235,FrikiBox SpA,1,1,14,14
237,Lucía,1,1,14,14
241,House Of Treino,1,1,14,14
243,Tienda Los Peques,1,1,14,14
244,Anâmaya,1,1,14,14
246,Le Blanc Boutique,1,1,14,14
249,Olympia SPA,1,1,14,14
250,dtalle,1,1,14,14
253,Constructo,3,3,14,14
256,Proyecto Formas,1,1,14,14
260,Enmarcame,1,1,14,14
265,GGZ,1,1,14,14
266,CRT,1,1,14,14
268,Minimondo,1,1,14,14
269,Magcult Store,1,1,14,14
271,BAZAR NATURAL,1,1,14,14
272,Spliff ,1,1,14,14
274,Club PaNales SpA,1,1,14,14
277,Alvaro Hernandez Egnen,1,1,14,14
278,Neurotec,1,1,14,14
2981,TEST13DIC,13,13,14,14
281,Manada Deco,1,1,14,14
293,Staff Cruz Verde,1,1,14,14
297,LDF,1,1,14,14
300,Silvia Tapia Bosman,1,1,14,14
3499,Eduardo Cid Figueroa,8,8,8,8
303,Acuarelas Maida Subercaseaux,1,1,14,14
307,VCM Ltda,1,1,14,14
310,jooycar ,1,1,14,14
312,Madriguera Kids,1,1,14,14
315,natalia skewes,1,1,14,14
317,Fundación Basura,1,1,14,14
318,Piriguines,1,1,14,14
320,The Sport Factor,1,1,14,14
323,Llamit,1,1,14,14
324,Tomás Mery,1,1,14,14
328,Festejarte,1,1,14,14
329,Eric Lobo,1,1,14,14
332,Lágrimas de Luna,1,1,14,14
336,DRYHOOD CHILE,1,1,14,14
335,The Wool Fellas,1,1,14,14
331,Abanico Natural,1,1,14,14
669,BOTECH,1,1,14,14
629,KombuChile SpA,1,1,14,14
4004,MidnightStore,13,13,14,14
413,Zekos Agencia de Marketing,3,0,14,14
339,Cordillerana,1,1,14,14
2217,N ofertas ltda,6,6,6,6
1230,Etta SpA,1,1,14,14
700,INNATU,1,1,14,14
3164,Cons chile Consciencieux ,13,13,14,14
439,sosmart sa,1,1,1,1
349,Victoria Deik,1,1,14,14
434,KODY Chile,1,1,14,14
354,Nissan Carlos Verdugo,1,1,14,14
3633,Comercializadora Sounier Ltda.,13,13,14,14
358,Kolken,1,1,14,14
359,Nikki Wood,1,1,14,14
363,Compra en Cuotas,1,1,14,14
345,Pilpil,1,1,14,14
356,L'éphémère,1,2,14,2
338,Tres Alpinos,1,1,14,14
400,Continental FX Spa,1,1,14,14
414,sociedad comercial dcl spa,1,1,14,14
2980,4parlantes,13,13,14,14
415,EneCreaciones,1,1,14,14
416,MAPA VIAJERO,1,1,14,14
419,La Madeja Limitada,1,1,14,14
431,Dani Spa,1,1,14,14
424,Digitalización de Pinturas y Mándalas,1,1,14,14
425,Comercial Infante & Hamilton,1,1,14,14
426,Tope de Linea,1,1,14,14
427,Innova Ltda,1,1,14,14
418,Carola Aravena,1,1,14,14
432,PZT Store EIRL,1,1,14,14
631,KillStore SPA,1,1,14,14
627,Natural Foods,1,1,14,14
1,Shipit,3,3,14,14
23,Nboga.cl,1,0,14,14
3775,BRONCERIAS CAMILLE LIMITADA,13,13,14,14
145,The Qualis,1,1,14,14
1225,Bazar ED,2,2,2,2
1597,Editorial Conservadora,4,1,14,14
433,Brand Society,3,0,14,14
23,Nboga.cl,1,0,14,14
23,Nboga.cl,1,0,14,14
23,Nboga.cl,1,0,14,14
635,Huilo Huilo Desarrollo Turistico Ltda,1,1,14,14
442,Dach,3,0,14,14
4005,El Sucuchito,13,13,14,14
446,Ryor Chile,1,1,14,14
449,sirenas ltda,3,0,14,14
462,Valentina Rosenthal,2,2,2,2
450,Mi Lista Útil,1,1,14,14
472,Adriana Baeza Muñoz,1,1,14,14
461,Panthalassa,1,1,14,14
467,Roomie Store,1,1,14,14
473,GCN CHILE,1,1,14,14
463,Naturasur,1,1,14,14
459,Un Cuarto de luz y diseño,1,1,14,14
470,Comercial South East Limitada,3,0,14,14
471,Esporamor Confecciones,1,1,14,14
460,FARMACIAS CRUZ VERDE S.A.,1,1,14,14
469,Cazarte,1,1,14,14
475,Soki Play,3,3,14,14
477,JAKO CHILE,1,1,14,14
448,José Lorenzo Muñoz Ibarra,1,1,14,14
493,Talkids,1,1,14,14
639,El horno de Dominga ,1,1,14,14
645,Lebry Spa,1,1,14,14
834,Tienda cobike,1,1,14,14
4119,GCM,13,13,14,14
3072,Rootsoul,13,13,14,14
3458,Garsil,13,13,14,14
454,AEDO CHILE,1,1,14,14
507,Galoo,1,1,14,14
145,The Qualis,1,1,14,14
508,BobCommerce,1,1,14,14
23,Nboga.cl,1,0,14,14
23,Nboga.cl,1,0,14,14
634,Mondan Studio,3,0,14,14
643,Evozze,1,1,14,14
1794,Patuelli y CIA LTDA,2,2,2,2
536,GATOLUK,1,1,14,14
564,Comercial MCF Limitada,1,1,14,14
4,TanBonito,1,1,14,14
440,Trinus Roaming,1,1,14,14
520,Cmvial Spa,1,1,14,14
651,Heidi ulrike Haensgen Martinez,1,1,14,14
505,Anforas CL,1,1,14,14
659,Tostaduria Tomasso,1,1,14,14
509,Búfala Kids,1,1,14,14
510,La Guarida Geek,1,1,14,14
681,F & A Ltda,1,1,14,14
9,Estela Kids,1,1,14,14
59,Agua Bendita,1,1,14,14
62,BlueTalk,1,1,14,14
63,Cata Desormeaux,1,1,14,14
76,P18,1,1,14,14
100,Baby Cactai,1,1,14,14
136,Tienda Babel,1,1,14,14
3299,Tienda Dolphin,13,13,14,14
3083,Nature Cosmetics,2,2,2,2
523,Snaqui,1,1,14,14
525,Alimentos Sur S.A.,1,1,14,14
531,AppKingdom,1,1,14,14
538,Nun Spa,1,1,14,14
547,Distribución Mayorista,3,0,14,14
537,Store Brazil,1,1,14,14
563,Esinteck,1,1,14,14
565,comercial werner spa,1,1,14,14
447,Magdalena Figueroa Ocqueteau,1,1,14,14
3460,VENDIDO CHILE,6,6,6,6
429,Paperme EIRL,1,1,14,14
521,Inversiones eBrands SPA,1,1,14,14
587,IDROGEN,1,1,14,14
575,A4S,1,1,14,14
577,ESTUDIO FAROL,1,1,14,14
23,Nboga.cl,1,0,14,14
579,Tammy Taylor Nails,1,1,14,14
640,Inversiones Consuelo Pfeng Villanueva EIRL,3,0,14,14
633,Dhama Chile,1,1,14,14
551,IMPORTADORA MAYORISTA SPA,1,1,14,14
289,La Guarida SpA,1,1,14,14
636,Maria Ines Violeta Schleede Coghlan,1,1,14,14
213,Modella Group,1,1,14,14
226,Candies,1,1,14,14
242,Nitza Ditzel Lacoa,1,1,14,14
263,Camila Loreto Fuentes Bórquez,1,1,14,14
1225,Bazar ED,2,2,2,2
1506,Servicio ingeniería Tomas Adolfo Fernandez Rodriguez E.I.R.L.,4,4,14,14
2983,test1,13,13,14,14
3635,focus Locus,13,13,14,14
648,Techstore,1,1,14,14
662,Superalimentate,1,1,14,14
653,Owl Vape,1,1,14,14
691,Natali Cabezas,1,1,14,14
466,PotoPuff,1,1,14,14
660,Osklein Motorsport EIRL,1,1,14,14
655,Dmz.Corp,1,1,14,14
180,Streets,1,1,14,14
1705,Led Studio,8,8,8,8
23,Nboga.cl,1,0,14,14
23,Nboga.cl,1,0,14,14
614,YUM,1,1,14,14
526,Manufacturas Von Hummel ltda.,1,1,14,14
616,Arestizabal S.A.,1,1,14,14
617,Neursoft,1,1,14,14
606,Robok,1,1,14,14
612,Dequiltros,1,1,14,14
607,María Isabel cisternas sepulveda,1,1,14,14
656,Gruppo Tomasso,1,1,14,14
4006,Ale tazas,13,13,14,14
600,The Hippie Project,1,6,14,6
257,NO FILTER! ,1,1,14,14
259,Bringmates SpA,1,1,14,14
1231,Importadora Rafer Limitada,1,1,14,14
1225,Bazar ED,2,2,2,2
3212,Prueba Bootic,13,13,14,14
3278,Comercializadora Santito Spa,7,7,7,7
608,Bomboneria 1850 Entrelagos,1,1,14,14
615,MTB,1,1,14,14
783,Bandak,1,1,14,14
610,Calzados Ivo,1,1,14,14
683,Minimmal,1,1,14,14
352,Comercializadora Pablo Andres Monares Vallejos,1,1,14,14
654,MUV,1,1,14,14
658,Cachito de Luna,1,1,14,14
663,Empecemos SpA,1,1,14,14
661,Arv Spa,1,1,14,14
665,Alta Vibración,1,1,14,14
1225,Bazar ED,2,2,2,2
666,Sociedad Comercializadora de productos al detalle S.A.,1,1,14,14
672,Nutrartis SA,1,1,14,14
668,SAFOR spa,1,1,14,14
941,Merkaba,1,1,14,14
728,Foodif,1,1,14,14
724,The Chalkboard,1,1,14,14
236,Photosintesis,1,1,14,14
1508,www.selladorasalvacio.cl,1,1,14,14
1232,DeMujeres Spa,1,0,14,14
1509,Vapor Urbano Importaciones SpA,4,4,14,14
1510,AnkerStore,1,1,14,14
788,Editorial Pánico Limitada,3,0,14,14
1269,ZAPATOS NHJ,3,0,14,14
1211,Masrepuestos SpA,1,1,14,14
1225,Bazar ED,2,2,2,2
145,The Qualis,1,1,14,14
