id,shipping_price,content_price,total_refund
149,47495,700756,748251
781,6112,13361,19473
958,4126,17850,21976
996,4750,38647,43397
1271,6747,33605,40352
1637,6600,8876,15476
1761,11300,41176,52476
1772,11460,67700,79160
1842,7169,31357,38526
2534,5669,51202,56871
2558,5930,21000,26930
2642,6890,21840,28730
2730,9140,70000,79140
2990,5230,12739,17969
3895,20850,27723,48573
4174,3994,33529,37523
4646,18229,48555,66784
4865,5029,58824,63853
5030,5323,12168,17491
5284,3994,70000,73994
5541,4746,55437,60183
5555,3900,22992,26892
5702,5230,59580,64810
6297,7960,70000,77960
6335,3994,10370,14364
6338,4954,18997,23951
7583,3915,45555,49470
7808,5993,70000,75993
7907,5230,25126,30356
8299,3994,35330,39324
8790,4501,24202,28703
8791,3994,26202,30196
8914,3915,46210,50125
9234,4126,70000,74126
9297,3994,2513,6507
9324,3994,46218,50212
9411,5229,40820,46049
9439,6890,70000,76890
9442,7140,9303,16443
9469,12293,15118,27411
9648,3994,3994,7988
