id,predictive_days,delivery_date,sub_status
3164324,10,2021-04-18,in_transit
3156749,10,2021-04-17,in_transit
3150731,10,2021-04-17,in_transit
3161850,10,2021-04-17,in_transit
3161065,10,2021-04-17,in_transit
3161636,10,2021-04-17,received_for_courier
3161630,10,2021-04-17,in_transit
3156560,10,2021-04-17,in_transit
3156412,10,2021-04-17,in_transit
3161650,10,2021-04-17,in_transit
3169090,9,2021-04-17,in_transit
3157758,10,2021-04-17,in_transit
3161529,9,2021-04-16,in_route
3161890,9,2021-04-16,in_transit
3161348,9,2021-04-16,in_route
3161611,9,2021-04-16,received_for_courier
3161204,9,2021-04-16,in_route
3161098,9,2021-04-16,in_transit
3161238,9,2021-04-16,in_transit
3161298,9,2021-04-16,in_route
3170871,8,2021-04-16,received_for_courier
3170814,8,2021-04-16,in_transit
3161481,9,2021-04-16,in_route
3161434,9,2021-04-16,in_route
3161265,9,2021-04-16,in_route
3161463,9,2021-04-16,in_route
3156455,8,2021-04-15,in_transit
3166673,7,2021-04-15,in_route
3170956,7,2021-04-15,received_for_courier
3166674,7,2021-04-15,in_route
3158007,7,2021-04-14,in_transit
3166533,5,2021-04-13,requested
3168257,5,2021-04-13,dispatched
3163947,5,2021-04-13,in_transit
3168064,5,2021-04-13,received_for_courier
3169966,5,2021-04-13,in_transit
3164778,5,2021-04-13,in_transit
3169258,5,2021-04-13,in_transit
3163675,5,2021-04-13,in_transit
3165360,5,2021-04-13,received_for_courier
3168867,5,2021-04-13,in_transit
3163793,5,2021-04-13,in_route
3164999,5,2021-04-13,received_for_courier
3164683,4,2021-04-12,in_transit
3169183,4,2021-04-12,in_transit
3156714,5,2021-04-12,in_transit
3167168,4,2021-04-12,dispatched
3164992,4,2021-04-12,dispatched
3169024,4,2021-04-12,requested
3171083,4,2021-04-12,in_transit
3166149,4,2021-04-12,requested
3166523,4,2021-04-12,in_transit
3170279,4,2021-04-12,received_for_courier
3165852,4,2021-04-12,requested
3168096,4,2021-04-12,in_transit
3162091,5,2021-04-12,received_for_courier
3164137,4,2021-04-12,in_transit
3164131,4,2021-04-12,pending
3166760,4,2021-04-12,dispatched
3170864,4,2021-04-12,in_route
3166036,4,2021-04-12,requested
3169973,4,2021-04-12,in_transit
3164919,4,2021-04-12,requested
3165340,4,2021-04-12,in_transit
3165596,4,2021-04-12,in_transit
3162987,4,2021-04-12,in_transit
3170517,4,2021-04-12,in_transit
3164286,4,2021-04-12,in_transit
3165832,4,2021-04-12,requested
3166008,4,2021-04-12,requested
3166772,4,2021-04-12,in_transit
3149591,5,2021-04-12,in_transit
3170883,4,2021-04-12,received_for_courier
